combination_id,initial_sigma_v,initial_sigma_omega,initial_sigma_obs,optimized_sigma_vx,optimized_sigma_vy,optimized_sigma_omega,optimized_sigma_obs,optimized_d,negative_log_likelihood,optimization_success
1,0.01,0.001,0.5,0.06936343801512819,0.07299272916427316,0.012950240052356243,0.4071840623468802,0.3712401926939191,4232.885437445214,True
2,0.01,0.001,1.0,0.01,0.01,0.001,1.0,0.23,6960.942024004501,True
3,0.01,0.01,0.5,0.01,0.01,0.01,0.5,0.23,4850.041267026649,True
4,0.01,0.01,1.0,0.05637204438618064,0.08165204395452377,0.03666528456282124,0.39180343267390577,0.4195333969033857,4109.928041975773,True
5,0.01,0.1,0.5,0.01,0.01,0.1,0.5,0.23,4880.84675068948,True
6,0.01,0.1,1.0,0.03546801403525621,0.11002263672302624,0.025698852703449328,0.400838902079839,0.41379684657588905,4178.006180273998,True
7,0.01,0.5,0.5,0.01000364583000384,0.01000374120264233,0.5000034863245357,0.5000035415466964,0.2300001981864701,5129.807410863347,True
8,0.01,0.5,1.0,0.010001589092915904,0.010001569213015558,0.5000015052089343,1.0000014258413992,0.23000012272712353,7056.4010382358,True
9,0.1,0.001,0.5,0.0330771534991352,0.05178564444799165,0.0008744469424633688,0.5025739083474664,0.20325268743666272,5157.459863477829,True
10,0.1,0.001,1.0,0.027723507396540836,0.06409702395402338,0.0154929350389885,0.4196622527197873,0.39805439925287345,4211.27448912193,True
11,0.1,0.01,0.5,0.05285118035841083,0.053607304617314645,0.009484554508469288,0.4224567643725711,0.3555075697497684,4289.763156088651,True
12,0.1,0.01,1.0,0.03292822247231182,0.04905721044106995,0.004396634873112142,0.45594820647869333,0.5324693622622858,4527.443413134145,True
13,0.1,0.1,0.5,0.06763297150853867,0.04938388826306322,0.0563406103740197,0.3953333096560279,0.40829943189638024,4125.169405377,True
14,0.1,0.1,1.0,0.06016648400245722,0.055904772402381425,0.04322284016354268,0.3985452341277433,0.3748566659465795,4121.562819432108,True
15,0.1,0.5,0.5,0.10094712389300052,0.1007587734747501,0.4997169424711243,0.5008545673367572,0.22989540609215312,4952.066039509584,True
16,0.1,0.5,1.0,0.0761239767183524,0.06012090781668555,0.25004769087917583,0.38532090449363127,0.32469252774293383,4314.153732055825,True
17,0.5,0.001,0.5,0.5003374614374266,0.5003364834982605,0.0009406157816236124,0.49342304534265086,0.22945958979533196,6137.531769407231,True
18,0.5,0.001,1.0,5.618284203246807,0.029584358648404502,2.179413650535695,0.21970733183622582,0.5888634806138111,,True
19,0.5,0.01,0.5,0.03729822271535604,0.04967326354163425,0.010543579711491226,0.42563353851885943,0.3470476407958902,4256.579060005829,True
20,0.5,0.01,1.0,0.04628761911389709,0.05912830837958287,0.014301611846511736,0.4138980949575705,0.3901466898559759,4197.377293317756,True
21,0.5,0.1,0.5,0.4451904727608128,0.4270764803165975,0.10904879659590277,0.34776538164077525,0.2999594002958231,5128.13983870157,True
22,0.5,0.1,1.0,0.3774339350968962,0.37743393272263837,2.5268504008352632,0.7573168545321165,0.41875482504696904,7483.468763420432,True
23,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.23,5880.951038616917,True
24,0.5,0.5,1.0,0.0731901629606627,0.12682161672529327,0.15631623804321262,0.35385733728099567,0.5093634014635021,4472.498442873856,True
25,1.0,0.001,0.5,1.000000000000001,1.000000000000001,0.0010000000000012347,0.49999999999999994,0.22999999999999998,7157.054022826619,True
26,1.0,0.001,1.0,0.49997341830929626,0.4999734188010695,5.000770674443342,0.5049731893158058,0.11999403652458415,6737.261742777524,True
27,1.0,0.01,0.5,0.7748770738612737,0.7158174265289499,0.6746260716751855,0.36687740143444436,0.3692663404925338,5953.203506682009,True
28,1.0,0.01,1.0,0.05357478830568172,0.05135291414003861,0.02361350004778773,0.40820476653349147,0.3958859794079089,4156.902477766307,True
29,1.0,0.1,0.5,0.6650102774872894,0.6650201889057352,0.06650673657384058,0.33584805444126414,0.15630396305671254,6297.90117557622,True
30,1.0,0.1,1.0,0.0663238203319896,0.06802431723546579,0.041356684926651635,0.3931150946152724,0.39826821563574927,4109.630156373393,True
31,1.0,0.5,0.5,0.9999992943166827,0.9999992947845433,0.4999996488541797,0.49999965348428305,0.23000054171493928,6626.547186655778,True
32,1.0,0.5,1.0,0.7992141744365193,2.8187254792029215,0.424729156309715,0.7593082153458929,0.16685913711586053,8379.394423075022,True
